Datetime;demand;price;solar_power_0;solar_power_1;solar_power_2;solar_power_3;wind_power
2019-01-01 00:00:00;20;2;0;0;0;0;0
2019-01-01 01:00:00;20;2;0;0;0;0;20.8404465948
2019-01-01 02:00:00;20;2;0;0;0;0;18.7831351362
2019-01-01 03:00:00;20;2;0;0;0;0;0
2019-01-01 04:00:00;20;2;0;0;0;0;16.8229963523
2019-01-01 05:00:00;20;2;0;0;0;0;18.0161016791
2019-01-01 06:00:00;20;2;0;0;0;0;20.3916276245
2019-01-01 07:00:00;20;2;5.96658046;8.94987069;13.424806035;20.1372090525;23.6608421485
2019-01-01 08:00:00;20;2;32.1457762933;48.21866444;72.3279966599;108.4919949899;29.4931313908
2019-01-01 09:00:00;20;2;47.5150206467;71.2725309701;106.9087964551;160.3631946826;37.5446253193
2019-01-01 10:00:00;20;2;62.4906406933;93.73596104;140.6039415599;210.9059123399;47.639500786
2019-01-01 11:00:00;20;2;63.5027865133;95.25417977;142.8812696549;214.3219044824;54.662384908
2019-01-01 12:00:00;20;2;85.7896011;128.68440165;193.026602475;289.5399037125;61.3767289493
2019-01-01 13:00:00;20;2;85.6420220933;128.46303314;192.6945497099;289.0418245649;65.5385605194
2019-01-01 14:00:00;20;2;73.2580792067;109.8871188101;164.8306782151;247.2460173226;64.3409241417
2019-01-01 15:00:00;20;2;36.8728568867;55.3092853301;82.9639279951;124.4458919926;50.8533936265
2019-01-01 16:00:00;20;2;0;0;0;0;36.6001461083
2019-01-01 17:00:00;20;2;0;0;0;0;37.5441048607
2019-01-01 18:00:00;20;2;0;0;0;0;0
2019-01-01 19:00:00;20;2;0;0;0;0;0
2019-01-01 20:00:00;20;2;0;0;0;0;33.645900859
2019-01-01 21:00:00;20;2;0;0;0;0;29.6432683779
2019-01-01 22:00:00;20;2;0;0;0;0;26.8287203292
2019-01-01 23:00:00;20;2;0;0;0;0;0
