Datetime,demand,price,wind_power,solar_power
2019-01-01 00:00:00,18.32,2,24.61,0
2019-01-01 01:00:00,20.3,2,25.22,0
2019-01-01 02:00:00,21.07,2,22.83,0
2019-01-01 03:00:00,20.52,2,26.21,0
2019-01-01 04:00:00,18.12,2,25.45,0
2019-01-01 05:00:00,19.32,2,23.71,0
2019-01-01 06:00:00,19.69,2,24.45,3.37
2019-01-01 07:00:00,19.07,2,24.27,8.12
2019-01-01 08:00:00,21.38,2,23.32,16.68
2019-01-01 09:00:00,18.25,2,24.97,29.21
2019-01-01 10:00:00,20.91,2,19.66,43.57
2019-01-01 11:00:00,20.9,2,21.8,55.39
2019-01-01 12:00:00,123.02,2,18.47,60
2019-01-01 13:00:00,118.47,2,16.76,55.39
2019-01-01 14:00:00,126.78,2,15.03,43.57
2019-01-01 15:00:00,109.1,2,13.63,29.21
2019-01-01 16:00:00,128.14,2,11.19,16.68
2019-01-01 17:00:00,114.57,9.7490802377,9.78,8.12
2019-01-01 18:00:00,120.23,10.9014286128,7.79,3.37
2019-01-01 19:00:00,123.27,10.4639878836,6.1,0
2019-01-01 20:00:00,108.18,10.1973169684,4.84,0
2019-01-01 21:00:00,116.14,9.3120372809,3.21,0
2019-01-01 22:00:00,118.62,9.3119890407,1.55,0
2019-01-01 23:00:00,109.72,9.1161672243,0,0
