Datetime,demand_kWh,price_EUR_MWh,solar_power_kW,wind_power_kW,temperature_C,wind_speed_mps,irradiance_index,day_type,comfort_index
2024-01-01 00:00:00,4.984939462129709,6.41772847490244,0.0,0.36569456913669984,3.3544419803027123,4.293282266145904,0.0,weekday,acceptable
2024-01-01 01:00:00,4.88374655883414,9.960942654723198,0.0,0.024321494722792488,7.4390330629716175,1.7394556472531808,0.0,weekday,acceptable
2024-01-01 02:00:00,5.2709918929996435,17.907057299439742,0.0,0.20668143513331058,7.183434773923256,3.549635521809266,0.0,weekday,acceptable
2024-01-01 03:00:00,6.219371566023561,15.834642520623362,0.0,0.383933821226847,6.248650869072304,4.363504177452336,0.0,weekday,acceptable
2024-01-01 04:00:00,5.156546513155456,13.616396381035994,0.0,0.433490114310102,7.111474931059047,4.5437002348084174,0.0,weekday,acceptable
2024-01-01 05:00:00,6.694694525913465,18.130853384340465,0.0,0.007715834969745909,2.2479059321556543,1.1863447581529691,0.0,weekday,acceptable
2024-01-01 06:00:00,7.287057029638246,20.364874622774156,0.0,0.04704193201001339,4.570375278753862,2.1672631941561593,0.0,weekday,acceptable
2024-01-01 07:00:00,8.962074921534104,22.31563605377109,0.0,0.04584930107398847,1.9188888511369844,2.148791012479724,0.0,weekday,expensive
2024-01-01 08:00:00,8.344509635679655,20.34928587650065,0.0,0.03359699055807639,1.6435098650714774,1.9372398675751172,0.0,weekday,acceptable
2024-01-01 09:00:00,8.17293261977199,17.68697348114351,0.0,0.03873791907143462,4.0984927569627265,2.031399625878625,0.0,weekday,acceptable
2024-01-01 10:00:00,7.15013216706841,16.92283948543717,0.0,0.09594425995628113,5.237164518093169,2.7484611641514225,0.0,weekday,acceptable
2024-01-01 11:00:00,6.849414117347311,22.075755314537158,0.0,0.01632450712743594,1.8943136303323422,1.5229885265038932,0.0,weekday,expensive
2024-01-01 12:00:00,5.76272151087343,15.969965472795895,0.0,0.34127931400915723,6.073187280621342,4.19552771200455,0.0,weekday,acceptable
2024-01-01 13:00:00,5.80361408295416,17.138518024691578,0.0,0.40117730156464254,5.576013377701229,4.4278753850794565,0.0,weekday,acceptable
2024-01-01 14:00:00,5.133205475590193,9.43213232193207,0.0,0.17218784809241022,3.527002728463816,3.3400331081800947,0.0,weekday,acceptable
