Datetime;demand;price;solar_power_0;wind_power_0
2025-01-01 00:00:00;33.2661951662;16.2940045406;0;79.764495071
2025-01-01 01:00:00;31.5718174756;26.6793623947;0;54.0094263358
2025-01-01 02:00:00;28.7799818324;28.6045436149;0;56.3231755479
2025-01-01 03:00:00;34.4730091778;25.6789167478;0;49.7781490245
2025-01-01 04:00:00;30.296318239;30.2485705094;0;72.1547979215
2025-01-01 05:00:00;27.9078464354;35.1328270187;0;84.336586848
2025-01-01 06:00:00;78.9741529392;54.2269470602;12.6358904977;62.9798261137
2025-01-01 07:00:00;71.9302325123;48.3410731033;18.6146800575;34.6647517571
2025-01-01 08:00:00;78.9670049496;58.8604236404;28.8061992454;34.2742734183
2025-01-01 09:00:00;82.8850574979;60.718812463;41.9947922604;13.7180307115
2025-01-01 10:00:00;60.4318434685;25.9633141229;47.1655310772;40.2886667068
2025-01-01 11:00:00;65.7458086472;43.7094576159;56.8925664656;35.1011079749
2025-01-01 12:00:00;57.7194327558;35.5922714163;73.9984457888;37.5988039255
2025-01-01 13:00:00;50.6535924578;36.7341839786;74.2291674355;32.5748556029
2025-01-01 14:00:00;52.0280140174;34.2009765132;67.3088595025;35.814031051
2025-01-01 15:00:00;59.0035397613;38.6619679141;68.5499384787;35.5508591829
2025-01-01 16:00:00;49.1121279341;28.4004951805;55.8290971069;49.7420596181
2025-01-01 17:00:00;43.7618409191;36.5762744768;46.2750566381;35.8704635275
2025-01-01 18:00:00;104.4870458381;87.7154342302;38.1583769031;60.2522438142
2025-01-01 19:00:00;109.0671395499;77.2553549484;23.1951918958;56.4303046402
2025-01-01 20:00:00;99.219897252;69.6905367053;16.2254485962;34.6961929518
2025-01-01 21:00:00;104.4562333718;81.8130425036;0;49.305821624
2025-01-01 22:00:00;64.4320961174;55.3713256018;0;42.6433897113
2025-01-01 23:00:00;63.4796148167;54.0923245587;0;22.9958725088
2025-01-02 00:00:00;30.5650133511;15.1985464903;0;78.4798411839
2025-01-02 01:00:00;26.856868088;19.8172323002;0;65.9172774939
2025-01-02 02:00:00;29.6342420339;10.3016483737;0;63.5355365118
2025-01-02 03:00:00;32.0637020424;32.7789195756;0;58.3805543815
2025-01-02 04:00:00;34.0870013584;28.345215685;0;36.6925460688
2025-01-02 05:00:00;31.502752716;22.0137298452;0;49.2841504815
2025-01-02 06:00:00;78.2824854934;43.6063358579;11.394201898;67.8603729381
2025-01-02 07:00:00;82.4912797955;48.9937017679;16.9816403185;24.7973195565
2025-01-02 08:00:00;83.8624541477;59.7485561726;27.5625988917;12.3468640642
2025-01-02 09:00:00;81.7003165967;47.6906653892;34.080154808;31.727581889
2025-01-02 10:00:00;55.2937114917;39.7226656185;41.8561260904;32.4453068135
2025-01-02 11:00:00;58.2402263509;51.3886601031;63.5929599385;34.7773956072
2025-01-02 12:00:00;63.321747001;39.553450957;63.3328116029;39.7637629855
2025-01-02 13:00:00;42.3652144499;23.4657268232;69.0284319637;45.4991194805
2025-01-02 14:00:00;39.1694934885;30.5452498724;60.8319515068;41.7823946352
2025-01-02 15:00:00;55.3751674149;29.2317824826;61.6888591116;50.9728754367
2025-01-02 16:00:00;50.8901632369;46.4745311304;57.4241775878;24.3411568271
2025-01-02 17:00:00;51.3190796006;44.463210661;42.8425735183;44.1940334054
2025-01-02 18:00:00;96.0819127972;72.4099942291;37.85426959;45.3905377684
2025-01-02 19:00:00;104.2464654641;75.2806873335;25.5947395383;34.8202257201
2025-01-02 20:00:00;102.1662082726;77.5924617949;18.0477076477;31.4988483962
2025-01-02 21:00:00;93.7981150782;73.474342092;0;41.0467619287
2025-01-02 22:00:00;65.4658288713;58.5763771745;0;42.1113941251
2025-01-02 23:00:00;59.7706284634;48.7797157442;0;59.9597440024
2025-01-03 00:00:00;28.2176221526;17.9614058594;0;46.9919726008
2025-01-03 01:00:00;28.2990461431;30.4473257723;0;43.6355269952
2025-01-03 02:00:00;21;27.8841759065;0;47.0322961728
2025-01-03 03:00:00;32.6700146983;21.0253127445;0;71.04929433
2025-01-03 04:00:00;31.1783574326;17.7267188678;0;55.70314124
2025-01-03 05:00:00;29.1266394045;24.5153566407;0;53.0339943835
2025-01-03 06:00:00;85.95208732;50.3842533212;11.1454724671;53.9951585154
2025-01-03 07:00:00;73.971538301;56.2442702314;20.8227693807;44.0739394151
2025-01-03 08:00:00;77.5134277429;46.090898176;26.3583909016;27.0739181564
2025-01-03 09:00:00;76.3738667401;53.8972316801;33.0147503266;44.269221357
2025-01-03 10:00:00;57.9571005059;39.4197477487;49.3578138135;35.0663346716
2025-01-03 11:00:00;59.5152930285;37.5414719023;50.4052246424;31.9772324666
